127.0.0.1 - - [02/Jan/2019:15:31:29 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:31:30 +0530] "GET /RestServiceHelloWorld/WEB-INF/classes/com/firstrestservice/UserService.java HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:32:17 +0530] "GET /RestServiceHelloWorld/rest/UserService/users HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:35:52 +0530] "GET /RestServiceHelloWorld/rest/UserService/users/json HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:35:55 +0530] "GET /RestServiceHelloWorld/rest/UserService/users HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:36:20 +0530] "GET /RestServiceHelloWorld/rest/UserService/users/json HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:06 +0530] "DELETE /RestServiceHelloWorld/rest/UserService/users/1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:10 +0530] "POST /RestServiceHelloWorld/rest/UserService/users/ HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:15 +0530] "POST /RestServiceHelloWorld/rest/UserService/users/ HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:19 +0530] "POST /RestServiceHelloWorld/rest/UserService/users/ HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:24 +0530] "POST /RestServiceHelloWorld/rest/UserService/users/ HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:43 +0530] "GET /RestServiceHelloWorld/rest/UserService/users HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:47:58 +0530] "DELETE /RestServiceHelloWorld/rest/UserService/users/5 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:48:01 +0530] "GET /RestServiceHelloWorld/rest/UserService/users HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:48:08 +0530] "DELETE /RestServiceHelloWorld/rest/UserService/users/4 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:48:11 +0530] "GET /RestServiceHelloWorld/rest/UserService/users HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:48:27 +0530] "GET /RestServiceHelloWorld/rest/UserService/users/json HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [02/Jan/2019:15:48:28 +0530] "GET /RestServiceHelloWorld/rest/UserService/users/json HTTP/1.1" 200 46
